text,native,who
It is going to be a very big step from Formula 2 to Formula 1 em but I feel more than ready having you never choose when you are going to get into Formula 1 and my moment came now of course I'm going to try to enjoy it as much as possible but also do the best show I can. So trying to enjoy but also em be in the moment.,0,Franco
"Em to receive that call probably the best moment of my life, I was at the F2 Sim with MP preparing the Formula 2 race here in monsa on Monday so it was very very short notice. My first emotions were mostly yeah excitement, I was em very very proud of what we achieved with with all the people that have been supporting me since I was very young since I came to Europe for the first time um and and yeah it's part of the effort that everyone did in my team around me and therefore for that also William said that this a team effort em yeah let's enjoy this moment.",0,Franco
"yeah Alex we spoke and he gave me many advices of course this is a long process but with all these advices and people supporting me it's making this em learning process a lot quicker, of course Alex has a lot of experience and is one of the best drivers in the grid so I am I think a privilege to have him as a teammate to make all of this quicker.",0,Franco
"yeah to be the first Argentinian in 23 years back in a for for one car racing here in monsai it's something very special, one of the biggest races of the calendar with all the Tios with all the people here, the fans are insane and it's one of the best races to to to make your debut.",0,Franco
"yeah right now until the end of the year I want to go race by race, try to focus mainly on myself, of course help the team to achieve their targets their their goals and yeah let's go forward together, it's a sine races to go it's a quite long em and I got many opportunities to try and evolve as driver, to try and and get the most information I can and of course improve step by step. So let's see what we can do at the end, em let's do Mana first and and then let's see",0,Franco
"yeah yeah yeah it's it's not bad for the first race em the car was very strong, um I am I am very happy of course with the performance we had this weekend um a lot of question marks going into the race of course. ",0,Franco
"I never done more than eight laps in a row before in an F1 car and today we're 53 to do with very high track temps the highest of the weekend and um and a lot of unknown things but I think I've done a good job um it was was always going to be a tough race here with the rears and the team helped me to manage the tires very well, they helped me with the tools and and the car was was very strong I think to manage tires um maybe we thought about that to stop but the one stop was was possible for me I managed well the mediums and then onto the hearts they felt consistent and and very good as well so um we we stayed out and and I did the best lap in the last lap so I think very positive things ",0,Franco
of course a lot of information now to take onto the simulator to take to the factory and understand many things better understanding what to work on um but now very very very positive weekend I think I went step by step and and we've been doing a better show each each session ,0,Franco
of course qualifying was a bit frustrating but with that little mistake but em I think we we worked hard and and brought the team back together for today and I did a good job so happy with that ,0,Franco
"yeah um you know many things are going into a weekend a Formula 1, first of all I couldn't do a a normal preparation because the the the call was very late um which for Baku is a track that I don't know but it's also a track where I'm going to be able to do a lot more and it will help a lot so um we need to keep working on that then a lot of things going on into a weekend em things that I was not used to um and I'm starting to understand better and to adapt as well so it's all part of the process and I think the process has been very quick because it came from one one day to another the same week of the race and and how we ended I think it's em it's very positive and of course the team is happy I am happy as well with the progression and we are looking for forward to to the next few rounds.",0,Franco
"em yeah of course I bit frustrated know after um finishing only 300s of Q3 in a truck that I haven never been before, it's a bit frustrating because I I can easily go back in my lab and and find some lap time em and that's why I I'm not not happy, but I think we we did a good weekend so far and in a truck that I know I didn't have the updates that that Alex Alex has in the car and and I still show that I can be you know up there and and we could be fighting for points even in a track that maybe doesn't suit us so so well, em there is many positives.",0,Franco
"of course that I am frustrated with the result because when you you are so so close it's it is disappointing, and in a truck that is very difficult to take you want to do you want to do a good qual and nail every lap and I felt like like I just didn't nail my last lap, and if I would have done it then I would have been in Q3 so that's that's the reality.",0,Franco
"but overall of course things to review on the data things to improve, but I think it was still a DEC and day and uh Singapore is a very difficult track and and to have back when Singapore in my first three races, you would never choose that you know in your first three formula one weekend so it's been tough, em I think I still deliver good results and em I think we still have all to fight for tomorrow.",0,Franco
it's a it's going to be a very long race and it's going to be tough for the heat and and many things but I still I'm still very optimistic that we have a good race. ,0,Franco
